dataset,approach,param,total_time_mean,time_per_token_mean,tokens_per_second_mean
cnn_dm_lm,base,,9.625466227531433,0.02046923032030463,48.97999210357666
cnn_dm_lm,random_dropout,t=0.1,15.473758125305176,0.030222183838486672,33.47167387008667
cnn_dm_lm,random_dropout,t=0.2,20.03699836730957,0.04024235978722572,25.164930438995363
cnn_dm_lm,angular,n=1,8.44367802143097,0.021175099443644284,47.78000183105469
cnn_dm_lm,angular,n=2,9.378948783874511,0.021747192833572626,46.32161197662354
cnn_dm_lm,angular,n=3,9.49914300441742,0.02186017408967018,46.17520313262939
cnn_dm_summarization,base,,10.266418385505677,0.020639844704419374,50.53251419067383
cnn_dm_summarization,random_dropout,t=0.1,15.047149276733398,0.029388963431119918,34.23635311126709
cnn_dm_summarization,random_dropout,t=0.2,18.520922470092774,0.03617367669939995,28.12719593048096
cnn_dm_summarization,angular,n=1,8.439679861068726,0.01842046556994319,54.90513248443604
cnn_dm_summarization,angular,n=2,8.79457492828369,0.017933985404670238,55.999413871765135
cnn_dm_summarization,angular,n=3,8.25559413433075,0.018230333365499972,55.12618846893311
human_eval,base,,7.099920952320099,0.019794011395424603,50.701598739624025
human_eval,random_dropout,t=0.1,16.256955051422118,0.031751865334808824,31.784723377227785
human_eval,random_dropout,t=0.2,24.139588642120362,0.04714763406664133,21.73735327720642
human_eval,angular,n=1,6.103570747375488,0.01944893868640065,51.58943519592285
human_eval,angular,n=2,8.386110615730285,0.023612298909574746,47.946609020233154
human_eval,angular,n=3,9.982408916950225,0.026414485555142163,43.04662647247314
xsum_summarization,base,,8.015451240539551,0.021258701756596565,47.64372787475586
xsum_summarization,random_dropout,t=0.1,15.760775661468506,0.030782764963805675,32.62799119949341
xsum_summarization,random_dropout,t=0.2,19.923327732086182,0.038912749476730825,26.33141145706177
xsum_summarization,angular,n=1,7.53788446187973,0.020747487526386978,48.735458564758304
xsum_summarization,angular,n=2,7.461993002891541,0.020673309918493032,48.80998992919922
xsum_summarization,angular,n=3,6.6848958969116214,0.01954895304515958,51.810570335388185
